Date : 2025-11-18 17:52:02
Directory : c:\Users\karen\Armor Echo\Assets\Scripts
Total : 165 files,  -30326 codes, -1147 comments, -3068 blanks, all -34541 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Logging.Abstractions.9.0.0\Microsoft.Extensions.Logging.Abstractions.nuspec                                                        | XML         |        -47 |          0 |         -1 |        -48 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Logging.Abstractions.9.0.0\PACKAGE.md                                                                                              | Markdown    |       -111 |         -7 |        -46 |       -164 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Logging.Abstractions.9.0.0\buildTransitive\net461\Microsoft.Extensions.Logging.Abstractions.targets                                | XML         |         -6 |          0 |         -1 |         -7 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Logging.Abstractions.9.0.0\buildTransitive\net462\Microsoft.Extensions.Logging.Abstractions.targets                                | XML         |        -24 |         -2 |         -6 |        -32 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Logging.Abstractions.9.0.0\buildTransitive\net8.0\Microsoft.Extensions.Logging.Abstractions.targets                                | XML         |        -24 |         -2 |         -6 |        -32 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Logging.Abstractions.9.0.0\buildTransitive\netcoreapp2.0\Microsoft.Extensions.Logging.Abstractions.targets                         | XML         |         -6 |          0 |         -1 |         -7 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Logging.Abstractions.9.0.0\buildTransitive\netstandard2.0\Microsoft.Extensions.Logging.Abstractions.targets                        | XML         |        -24 |         -2 |         -6 |        -32 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Logging.Abstractions.9.0.0\lib\netstandard2.0\Microsoft.Extensions.Logging.Abstractions.xml                                        | XML         |     -1,535 |          0 |         -3 |     -1,538 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Options.9.0.0\Microsoft.Extensions.Options.nuspec                                                                                  | XML         |        -46 |          0 |          0 |        -46 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Options.9.0.0\PACKAGE.md                                                                                                           | Markdown    |       -127 |          0 |        -43 |       -170 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Options.9.0.0\buildTransitive\net461\Microsoft.Extensions.Options.targets                                                          | XML         |         -6 |          0 |         -1 |         -7 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Options.9.0.0\buildTransitive\net462\Microsoft.Extensions.Options.targets                                                          | XML         |        -24 |         -2 |         -6 |        -32 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Options.9.0.0\buildTransitive\net8.0\Microsoft.Extensions.Options.targets                                                          | XML         |        -24 |         -2 |         -6 |        -32 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Options.9.0.0\buildTransitive\netcoreapp2.0\Microsoft.Extensions.Options.targets                                                   | XML         |         -6 |          0 |         -1 |         -7 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Options.9.0.0\buildTransitive\netstandard2.0\Microsoft.Extensions.Options.targets                                                  | XML         |        -24 |         -2 |         -6 |        -32 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Options.9.0.0\lib\netstandard2.1\Microsoft.Extensions.Options.xml                                                                  | XML         |     -2,335 |          0 |         -6 |     -2,341 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Primitives.9.0.0\Microsoft.Extensions.Primitives.nuspec                                                                            | XML         |        -34 |          0 |         -1 |        -35 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Primitives.9.0.0\PACKAGE.md                                                                                                        | Markdown    |        -84 |          0 |        -25 |       -109 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Primitives.9.0.0\buildTransitive\net461\Microsoft.Extensions.Primitives.targets                                                    | XML         |         -6 |          0 |         -1 |         -7 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Primitives.9.0.0\buildTransitive\netcoreapp2.0\Microsoft.Extensions.Primitives.targets                                             | XML         |         -6 |          0 |         -1 |         -7 |
| c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Primitives.9.0.0\lib\netstandard2.0\Microsoft.Extensions.Primitives.xml                                                            | XML         |     -1,248 |          0 |         -1 |     -1,249 |
| c:\Users\karen\Armor Echo\Assets\Packages\Serilog.4.3.0\README.md                                                                                                                                 | Markdown    |        -84 |          0 |        -36 |       -120 |
| c:\Users\karen\Armor Echo\Assets\Packages\Serilog.4.3.0\Serilog.nuspec                                                                                                                            | XML         |        -40 |          0 |          0 |        -40 |
| c:\Users\karen\Armor Echo\Assets\Packages\Serilog.4.3.0\lib\netstandard2.0\Serilog.xml                                                                                                            | XML         |     -6,338 |         -2 |        -27 |     -6,367 |
| c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Extensions.Logging.9.0.2\README.md                                                                                                              | Markdown    |       -149 |          0 |        -41 |       -190 |
| c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Extensions.Logging.9.0.2\Serilog.Extensions.Logging.nuspec                                                                                      | XML         |        -43 |          0 |          0 |        -43 |
| c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Extensions.Logging.9.0.2\lib\netstandard2.1\Serilog.Extensions.Logging.xml                                                                      | XML         |       -164 |          0 |         -1 |       -165 |
| c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Formatting.Compact.3.0.0\README.md                                                                                                              | Markdown    |       -117 |          0 |        -45 |       -162 |
| c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Formatting.Compact.3.0.0\Serilog.Formatting.Compact.nuspec                                                                                      | XML         |        -33 |          0 |          0 |        -33 |
| c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Formatting.Compact.3.0.0\lib\netstandard2.0\Serilog.Formatting.Compact.xml                                                                      | XML         |        -77 |          0 |         -1 |        -78 |
| c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Sinks.Async.2.1.0\README.md                                                                                                                     | Markdown    |        -75 |          0 |        -32 |       -107 |
| c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Sinks.Async.2.1.0\Serilog.Sinks.Async.nuspec                                                                                                    | XML         |        -33 |          0 |          0 |        -33 |
| c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Sinks.Async.2.1.0\lib\netstandard2.0\Serilog.Sinks.Async.xml                                                                                    | XML         |        -67 |          0 |         -1 |        -68 |
| c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Sinks.Console.6.1.1\README.md                                                                                                                   | Markdown    |       -127 |          0 |        -52 |       -179 |
| c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Sinks.Console.6.1.1\Serilog.Sinks.Console.nuspec                                                                                                | XML         |        -38 |          0 |          0 |        -38 |
| c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Sinks.Console.6.1.1\lib\netstandard2.0\Serilog.Sinks.Console.xml                                                                                | XML         |       -357 |          0 |         -1 |       -358 |
| c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Sinks.File.7.0.0\README.md                                                                                                                      | Markdown    |       -140 |          0 |        -72 |       -212 |
| c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Sinks.File.7.0.0\Serilog.Sinks.File.nuspec                                                                                                      | XML         |        -41 |          0 |          0 |        -41 |
| c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Sinks.File.7.0.0\lib\netstandard2.0\Serilog.Sinks.File.xml                                                                                      | XML         |       -519 |          0 |         -1 |       -520 |
| c:\Users\karen\Armor Echo\Assets\Packages\System.ComponentModel.Annotations.5.0.0\System.ComponentModel.Annotations.nuspec                                                                        | XML         |        -68 |          0 |         -2 |        -70 |
| c:\Users\karen\Armor Echo\Assets\Packages\System.ComponentModel.Annotations.5.0.0\lib\netstandard2.1\System.ComponentModel.Annotations.xml                                                        | XML         |     -1,201 |          0 |         -9 |     -1,210 |
| c:\Users\karen\Armor Echo\Assets\Packages\System.Diagnostics.DiagnosticSource.9.0.0\Sources\ILLink.Descriptors.LibraryBuild.xml                                                                   | XML         |         -7 |         -1 |         -1 |         -9 |
| c:\Users\karen\Armor Echo\Assets\Packages\System.Diagnostics.DiagnosticSource.9.0.0\System.Diagnostics.DiagnosticSource.nuspec                                                                    | XML         |        -38 |          0 |         -1 |        -39 |
| c:\Users\karen\Armor Echo\Assets\Packages\System.Diagnostics.DiagnosticSource.9.0.0\buildTransitive\net461\System.Diagnostics.DiagnosticSource.targets                                            | XML         |         -6 |          0 |         -1 |         -7 |
| c:\Users\karen\Armor Echo\Assets\Packages\System.Diagnostics.DiagnosticSource.9.0.0\buildTransitive\netcoreapp2.0\System.Diagnostics.DiagnosticSource.targets                                     | XML         |         -6 |          0 |         -1 |         -7 |
| c:\Users\karen\Armor Echo\Assets\Packages\System.Diagnostics.DiagnosticSource.9.0.0\content\ILLink\ILLink.Descriptors.LibraryBuild.xml                                                            | XML         |         -7 |         -1 |         -1 |         -9 |
| c:\Users\karen\Armor Echo\Assets\Packages\System.Diagnostics.DiagnosticSource.9.0.0\lib\netstandard2.0\System.Diagnostics.DiagnosticSource.xml                                                    | XML         |     -2,059 |          0 |        -10 |     -2,069 |
| c:\Users\karen\Armor Echo\Assets\Packages\System.Threading.Channels.8.0.0\PACKAGE.md                                                                                                              | Markdown    |        -41 |         -7 |        -25 |        -73 |
| c:\Users\karen\Armor Echo\Assets\Packages\System.Threading.Channels.8.0.0\System.Threading.Channels.nuspec                                                                                        | XML         |        -33 |          0 |         -1 |        -34 |
| c:\Users\karen\Armor Echo\Assets\Packages\System.Threading.Channels.8.0.0\buildTransitive\net461\System.Threading.Channels.targets                                                                | XML         |         -6 |          0 |         -1 |         -7 |
| c:\Users\karen\Armor Echo\Assets\Packages\System.Threading.Channels.8.0.0\buildTransitive\netcoreapp2.0\System.Threading.Channels.targets                                                         | XML         |         -6 |          0 |         -1 |         -7 |
| c:\Users\karen\Armor Echo\Assets\Packages\System.Threading.Channels.8.0.0\lib\netstandard2.1\System.Threading.Channels.xml                                                                        | XML         |       -243 |          0 |          0 |       -243 |
| c:\Users\karen\Armor Echo\Assets\Resources\BillingMode.json                                                                                                                                       | JSON        |         -1 |          0 |          0 |         -1 |
| c:\Users\karen\Armor Echo\Assets\Resources\PerformanceTestRunInfo.json                                                                                                                            | JSON        |         -1 |          0 |          0 |         -1 |
| c:\Users\karen\Armor Echo\Assets\Resources\PerformanceTestRunSettings.json                                                                                                                        | JSON        |         -1 |          0 |          0 |         -1 |
| c:\Users\karen\Armor Echo\Assets\Serilog.Sinks.Unity3D\CHANGELOG.md                                                                                                                               | Markdown    |         -4 |          0 |         -1 |         -5 |
| c:\Users\karen\Armor Echo\Assets\Serilog.Sinks.Unity3D\ILoggerExtensions.cs                                                                                                                       | C#          |         -8 |        -10 |         -2 |        -20 |
| c:\Users\karen\Armor Echo\Assets\Serilog.Sinks.Unity3D\Serilog.Sinks.Unity3D.asmdef                                                                                                               | JSON        |        -16 |          0 |          0 |        -16 |
| c:\Users\karen\Armor Echo\Assets\Serilog.Sinks.Unity3D\Unity3DLogEventSink.cs                                                                                                                     | C#          |        -62 |          0 |         -9 |        -71 |
| c:\Users\karen\Armor Echo\Assets\Serilog.Sinks.Unity3D\UnityObjectEnricher.cs                                                                                                                     | C#          |        -14 |          0 |         -5 |        -19 |
| c:\Users\karen\Armor Echo\Assets\Serilog.Sinks.Unity3D\UnitySinkExtensions.cs                                                                                                                     | C#          |        -44 |        -25 |         -8 |        -77 |
| c:\Users\karen\Armor Echo\Assets\Serilog.Sinks.Unity3D\UnityTagEnricher.cs                                                                                                                        | C#          |        -14 |          0 |         -5 |        -19 |
| c:\Users\karen\Armor Echo\Assets\Serilog.Sinks.Unity3D\package.json                                                                                                                               | JSON        |        -15 |          0 |          0 |        -15 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark01.cs                                                                                                            | C#          |        -63 |        -29 |        -37 |       -129 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark01_UGUI.cs                                                                                                       | C#          |        -59 |        -37 |        -40 |       -136 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark02.cs                                                                                                            | C#          |        -64 |         -6 |        -27 |        -97 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark03.cs                                                                                                            | C#          |        -72 |         -1 |        -19 |        -92 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark04.cs                                                                                                            | C#          |        -40 |        -26 |        -19 |        -85 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\CameraController.cs                                                                                                       | C#          |       -196 |        -25 |        -69 |       -290 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\ChatController.cs                                                                                                         | C#          |        -31 |         -5 |        -16 |        -52 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\DropdownSample.cs                                                                                                         | C#          |        -15 |          0 |         -5 |        -20 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\EnvMapAnimator.cs                                                                                                         | C#          |        -23 |         -4 |         -9 |        -36 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\ObjectSpin.cs                                                                                                             | C#          |        -49 |         -4 |        -13 |        -66 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\ShaderPropAnimator.cs                                                                                                     | C#          |        -33 |         -5 |        -14 |        -52 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\SimpleScript.cs                                                                                                           | C#          |        -23 |        -15 |        -20 |        -58 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\SkewTextExample.cs                                                                                                        | C#          |        -97 |        -18 |        -45 |       -160 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_DigitValidator.cs                                                                                                     | C#          |        -18 |         -5 |         -4 |        -27 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_ExampleScript_01.cs                                                                                                   | C#          |        -34 |         -9 |        -19 |        -62 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_FrameRateCounter.cs                                                                                                   | C#          |        -90 |        -11 |        -33 |       -134 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_PhoneNumberValidator.cs                                                                                               | C#          |        -92 |         -7 |         -6 |       -105 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextEventCheck.cs                                                                                                     | C#          |        -56 |         -1 |        -17 |        -74 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextEventHandler.cs                                                                                                   | C#          |       -172 |        -36 |        -56 |       -264 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextInfoDebugTool.cs                                                                                                  | C#          |       -408 |        -97 |       -147 |       -652 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextSelector_A.cs                                                                                                     | C#          |        -98 |        -17 |        -41 |       -156 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextSelector_B.cs                                                                                                     | C#          |       -246 |       -191 |       -107 |       -544 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_UiFrameRateCounter.cs                                                                                                 | C#          |        -95 |         -1 |        -28 |       -124 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TMPro_InstructionOverlay.cs                                                                                               | C#          |        -54 |         -6 |        -24 |        -84 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TeleType.cs                                                                                                               | C#          |        -40 |        -15 |        -28 |        -83 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TextConsoleSimulator.cs                                                                                                   | C#          |        -79 |        -13 |        -31 |       -123 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TextMeshProFloatingText.cs                                                                                                | C#          |       -133 |        -32 |        -57 |       -222 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TextMeshSpawner.cs                                                                                                        | C#          |        -45 |        -13 |        -21 |        -79 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexColorCycler.cs                                                                                                      | C#          |        -49 |        -13 |        -23 |        -85 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexJitter.cs                                                                                                           | C#          |       -106 |        -26 |        -43 |       -175 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexShakeA.cs                                                                                                           | C#          |       -100 |        -23 |        -38 |       -161 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexShakeB.cs                                                                                                           | C#          |       -113 |        -29 |        -43 |       -185 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexZoom.cs                                                                                                             | C#          |       -112 |        -32 |        -49 |       -193 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\WarpTextExample.cs                                                                                                        | C#          |        -90 |        -15 |        -41 |       -146 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\SDFFunctions.hlsl                                                                                                                           | UnityShader |       -130 |        -18 |        -31 |       -179 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader                                                                                                              | UnityShader |       -113 |         -2 |        -31 |       -146 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader                                                                                                                    | UnityShader |       -123 |         -3 |        -30 |       -156 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader                                                                                                                           | UnityShader |       -113 |         -2 |        -31 |       -146 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader                                                                                                                      | UnityShader |       -253 |         -4 |        -70 |       -327 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader                                                                                                                          | UnityShader |       -253 |         -4 |        -65 |       -322 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader                                                                                                               | UnityShader |       -198 |        -10 |        -51 |       -259 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader                                                                                                               | UnityShader |       -193 |         -8 |        -52 |       -253 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader                                                                                                                   | UnityShader |        -82 |         -4 |        -21 |       -107 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile-2-Pass.shader                                                                                                                | UnityShader |       -290 |        -15 |        -85 |       -390 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader                                                                                                                       | UnityShader |       -192 |         -8 |        -51 |       -251 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader                                                                                                               | UnityShader |       -104 |         -8 |        -28 |       -140 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader                                                                                                                      | UnityShader |       -123 |         -4 |        -33 |       -160 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_SDF.shader                                                                                                                              | UnityShader |       -253 |         -4 |        -70 |       -327 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader                                                                                                                           | UnityShader |       -111 |          0 |        -21 |       -132 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMPro.cginc                                                                                                                                 | UnityShader |        -63 |         -2 |        -20 |        -85 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc                                                                                                                          | UnityShader |       -129 |         -2 |        -35 |       -166 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc                                                                                                                      | UnityShader |        -62 |         -6 |        -13 |        -81 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc                                                                                                                         | UnityShader |        -75 |         -7 |        -18 |       -100 |
| c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Sprites\EmojiOne.json                                                                                                                               | JSON        |       -155 |          0 |         -2 |       -157 |
| Total                                                                                                                                                                                             |             |    -30,326 |     -1,147 |     -3,068 |    -34,541 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
